[0.002s][info][metaspace]  - commit_granule_bytes: 65536.
[3.648s][info][gc,metaspace   ] GC(3) Metaspace: 23360K(23488K)->23360K(23488K) NonClass: 21274K(21376K)->21274K(21376K) Class: 2085K(2112K)->2085K(2112K)
[3.648s][info][gc             ] GC(3) Pause Young (Allocation Failure) 76M->11M(245M) 4.271ms
[3.648s][info][gc,cpu         ] GC(3) User=0.01s Sys=0.00s Real=0.00s
[4.427s][info][gc,start       ] GC(4) Pause Young (Allocation Failure)
[4.431s][info][gc,heap        ] GC(4) PSYoungGen: 68833K(76288K)->2963K(76288K) Eden: 65536K(65536K)->0K(65536K) From: 3297K(10752K)->2963K(10752K)
[4.431s][info][gc,heap        ] GC(4) ParOldGen: 8703K(175104K)->8711K(175104K)
[4.431s][info][gc,metaspace   ] GC(4) Metaspace: 23898K(24064K)->23898K(24064K) NonClass: 21802K(21888K)->21802K(21888K) Class: 2096K(2176K)->2096K(2176K)
[4.431s][info][gc             ] GC(4) Pause Young (Allocation Failure) 75M->11M(245M) 4.280ms
[4.431s][info][gc,cpu         ] GC(4) User=0.01s Sys=0.00s Real=0.01s
[4.950s][info][gc,start       ] GC(5) Pause Young (Allocation Failure)
[4.953s][info][gc,heap        ] GC(5) PSYoungGen: 68499K(76288K)->2129K(76288K) Eden: 65536K(65536K)->0K(65536K) From: 2963K(10752K)->2129K(10752K)
[4.953s][info][gc,heap        ] GC(5) ParOldGen: 8711K(175104K)->8719K(175104K)
[4.953s][info][gc,metaspace   ] GC(5) Metaspace: 24091K(24256K)->24091K(24256K) NonClass: 21992K(22080K)->21992K(22080K) Class: 2098K(2176K)->2098K(2176K)
[4.953s][info][gc             ] GC(5) Pause Young (Allocation Failure) 75M->10M(245M) 3.784ms
[4.953s][info][gc,cpu         ] GC(5) User=0.00s Sys=0.00s Real=0.00s
[5.502s][info][gc,start       ] GC(6) Pause Young (Allocation Failure)
[5.505s][info][gc,heap        ] GC(6) PSYoungGen: 67665K(76288K)->1793K(77824K) Eden: 65536K(65536K)->0K(68608K) From: 2129K(10752K)->1793K(9216K)
[5.505s][info][gc,heap        ] GC(6) ParOldGen: 8719K(175104K)->8727K(175104K)
[5.505s][info][gc,metaspace   ] GC(6) Metaspace: 24752K(24896K)->24752K(24896K) NonClass: 22626K(22720K)->22626K(22720K) Class: 2126K(2176K)->2126K(2176K)
[5.505s][info][gc             ] GC(6) Pause Young (Allocation Failure) 74M->10M(247M) 2.893ms
[5.505s][info][gc,cpu         ] GC(6) User=0.00s Sys=0.00s Real=0.00s
[6.186s][info][gc,start       ] GC(7) Pause Young (Allocation Failure)
[6.194s][info][gc,heap        ] GC(7) PSYoungGen: 70401K(77824K)->3665K(77824K) Eden: 68608K(68608K)->0K(68608K) From: 1793K(9216K)->3665K(9216K)
[6.194s][info][gc,heap        ] GC(7) ParOldGen: 8727K(175104K)->8871K(175104K)
[6.194s][info][gc,metaspace   ] GC(7) Metaspace: 25117K(25216K)->25117K(25216K) NonClass: 22989K(23040K)->22989K(23040K) Class: 2127K(2176K)->2127K(2176K)
[6.194s][info][gc             ] GC(7) Pause Young (Allocation Failure) 77M->12M(247M) 8.440ms
[6.194s][info][gc,cpu         ] GC(7) User=0.01s Sys=0.00s Real=0.01s
[6.562s][info][gc,start       ] GC(8) Pause Young (Allocation Failure)
[6.579s][info][gc,heap        ] GC(8) PSYoungGen: 72273K(77824K)->4792K(78848K) Eden: 68608K(68608K)->0K(70656K) From: 3665K(9216K)->4792K(8192K)
[6.579s][info][gc,heap        ] GC(8) ParOldGen: 8871K(175104K)->9664K(175104K)
[6.579s][info][gc,metaspace   ] GC(8) Metaspace: 25307K(25408K)->25307K(25408K) NonClass: 23179K(23232K)->23179K(23232K) Class: 2127K(2176K)->2127K(2176K)
[6.579s][info][gc             ] GC(8) Pause Young (Allocation Failure) 79M->14M(248M) 17.107ms
[6.579s][info][gc,cpu         ] GC(8) User=0.03s Sys=0.00s Real=0.02s
[6.914s][info][gc,start       ] GC(9) Pause Young (Allocation Failure)
[6.921s][info][gc,heap        ] GC(9) PSYoungGen: 75448K(78848K)->2752K(78848K) Eden: 70656K(70656K)->0K(70656K) From: 4792K(8192K)->2752K(8192K)
[6.921s][info][gc,heap        ] GC(9) ParOldGen: 9664K(175104K)->10122K(175104K)
[6.921s][info][gc,metaspace   ] GC(9) Metaspace: 25388K(25536K)->25388K(25536K) NonClass: 23261K(23360K)->23261K(23360K) Class: 2127K(2176K)->2127K(2176K)
[6.921s][info][gc             ] GC(9) Pause Young (Allocation Failure) 83M->12M(248M) 7.276ms
[6.921s][info][gc,cpu         ] GC(9) User=0.01s Sys=0.00s Real=0.01s
[7.408s][info][gc,start       ] GC(10) Pause Young (Allocation Failure)
[7.415s][info][gc,heap        ] GC(10) PSYoungGen: 73408K(78848K)->2176K(120320K) Eden: 70656K(70656K)->0K(113152K) From: 2752K(8192K)->2176K(7168K)
[7.415s][info][gc,heap        ] GC(10) ParOldGen: 10122K(175104K)->10154K(175104K)
[7.415s][info][gc,metaspace   ] GC(10) Metaspace: 25591K(25728K)->25591K(25728K) NonClass: 23462K(23552K)->23462K(23552K) Class: 2128K(2176K)->2128K(2176K)
[7.415s][info][gc             ] GC(10) Pause Young (Allocation Failure) 81M->12M(288M) 7.436ms
[7.415s][info][gc,cpu         ] GC(10) User=0.01s Sys=0.00s Real=0.01s
[8.103s][info][gc,start       ] GC(11) Pause Young (Allocation Failure)
[8.110s][info][gc,heap        ] GC(11) PSYoungGen: 115328K(120320K)->2384K(120832K) Eden: 113152K(113152K)->0K(113152K) From: 2176K(7168K)->2384K(7680K)
[8.110s][info][gc,heap        ] GC(11) ParOldGen: 10154K(175104K)->10178K(175104K)
[8.110s][info][gc,metaspace   ] GC(11) Metaspace: 25759K(25920K)->25759K(25920K) NonClass: 23630K(23744K)->23630K(23744K) Class: 2128K(2176K)->2128K(2176K)
[8.110s][info][gc             ] GC(11) Pause Young (Allocation Failure) 122M->12M(289M) 7.422ms
[8.110s][info][gc,cpu         ] GC(11) User=0.01s Sys=0.00s Real=0.01s
[8.598s][info][gc,start       ] GC(12) Pause Young (Allocation Failure)
[8.613s][info][gc,heap        ] GC(12) PSYoungGen: 115536K(120832K)->7663K(187392K) Eden: 113152K(113152K)->0K(179712K) From: 2384K(7680K)->7663K(7680K)
[8.613s][info][gc,heap        ] GC(12) ParOldGen: 10178K(175104K)->11338K(175104K)
[8.613s][info][gc,metaspace   ] GC(12) Metaspace: 25929K(26112K)->25929K(26112K) NonClass: 23801K(23936K)->23801K(23936K) Class: 2128K(2176K)->2128K(2176K)
